objectid,filename,youtubeid,title,format,description,creator,recipient,date,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language
blackworld013,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA77#v=onepage&q&f=false,,Table Talk,application/pdf,A short story about gorillas being a metaphor for racial stereotypes.,Everett Hoagland,,1974.06,single-page; negatives,Short Story,"Dartmouth, Massachusetts",41.6270886,-71.00547652,,Google Books,Johnson Publishing,1974.06.76.23.8,"MG-101, Box 6, Folder - 'Miscellaneous Negatives'",1974.06.76.23.8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld014,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA86#v=onepage&q&f=false,,Living Black Authors,application/pdf,A book review of the biography Living Black Authors by Ann Allen Shockley and Sue P. Chandler,James C. Kilgore,,1974.06,single-page; negatives,"Book Review, Black Writers","Highland Hills, Ohio",41.4466488,-81.50270367,The Way Magazine,Google Books,Johnson Publishing,1974.06.86.23.8,"MG-101, Box 6, Folder - 'Miscellaneous Negatives'",1974.06.86.23.8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld015,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PT1#v=onepage&q&f=false,,When is a Black Man Not an African?,application/pdf,"A anonymous piece reflecting on African Americans connection to Africa, and how the Trans-Atlantic Slave Trade interupted that",,,1974.06,single-page; flyers,"History, Trans-Atlantic Slavery Trade, Afro-Centrism",,,,,Google Books,Johnson Publishing,1974.06.100.23.8,"MG-101, Box 7, Folder 13",1974.06.100.23.8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld016,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA4#v=onepage&q&f=false,,An Interview with Thomas Dorsey,application/pdf,"An interview with legendary gospel singer Thomas Dorsey, about his life and music","Thomas Dorsey, Alfred Duckett",Gentlemen,1974.07,postcard; reply cards,"Gospel, Black Musicians","Chicago, Illinois",41.88235766,-87.61530771,,Google Books,Johnson Publishing,1974.07.04.23.9,"MG-101, Box 7, Folder 23",1974.07.04.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld017,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA20#v=onepage&q&f=false,,Father of Gospel Music,application/pdf,"A biography of the life, music and career of Thomas Dorsey",Horace Boyer,My dear friend and fellow-student,1974.07,single-page; form letters,"Gospel, Black Musicians","Chicago, Illinois",41.88235766,-87.61530771,,Google Books,Johnson Publishing,1974.07.20.23.9,"MG-101, Box 7, Folder 23",1974.07.20.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld018,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA29#v=onepage&q&f=false,,"A Selected, Annotated Discography: Dorsey Songs on Record",application/pdf,An article listing some of the many artists that have played Dorsey's music,Romeo Eldridge Phillips,Students,1974.07,multiple-page; application forms,"Gospel, Black Musicians","Chicago, Illinois",41.88235766,-87.61530771,,Google Books,Johnson Publishing,1974.07.29.23.9,"MG-101, Box 7, Folder 23",1974.07.29.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld019,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA33#v=onepage&q&f=false,,Borinken Blues,application/pdf,"A poem about poet Victor Hernandez Cruz and his home of Aguas Buenas, Puerto Rico",Yusef Komunyakaa,,1974.07,single-page; photographs,"Poetry, Caribbean Culture","Aguas Buenas, Puerto Rico",18.25693857,-66.10638862,,Google Books,Johnson Publishing,1974.07.33.23.9,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.07.33.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld020,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA34#v=onepage&q&f=false,,The Spiritual as Mature Chord Composition,application/pdf,A brief history of the development of Gospel music,Wendell Phillips Whalum,,1974.07,single-page; photographs,"Gospel, Black Musicians","Atlanta, Georgia",33.74741254,-84.41557092,,Google Books,Johnson Publishing,1974.07.34.23.9,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.07.34.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld021,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA40#v=onepage&q&f=false,,Special Reports: The Performing Arts in Jamaica,application/pdf,"This article serves as partly a review of a Jamaican dance company visiting NYC, but also a reflection on how Black Caribbean cultures are viewed in the United States. It is also an informational piece on Jamaican culture.",Rex Nettleford,,1974.07,single-page; photographs,"Jamaican culture, Dance, Caribbean culture","Kingston, Jamaica",18.01661293,-76.79722887,,Google Books,Johnson Publishing,1974.07.40.23.9,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.07.40.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld022,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA47#v=onepage&q&f=false,,Theater,application/pdf,"This article reviews the Jamaican art fesitival in 1973, and discusses Jamaican theater practices. It also  announces the establishment of new Black magazines related to theatre, literature and other topics.",Ed Smith,,1974.07,single-page; photographs,"Jamaican culture, Black Theatre","Kingston, Jamaica",18.01661293,-76.79722887,Daily Idahoan,Google Books,Johnson Publishing,1974.07.47.23.9,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.07.47.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld023,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA49#v=onepage&q&f=false,,Perspectives: Duke Ellington: Communicator,application/pdf,A short article memoralizing American composer Duke Ellington,Carole A. Parks,,1974.07,single-page; photographs,"Black Musicians, Jazz","New York City, New York",40.8185176,-73.93766601,The News-Review,Google Books,Johnson Publishing,1974.07.49.23.9,"MG-101, Box 6, Folder - 'Robinson & Friends'",1974.07.49.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld024,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA51#v=onepage&q&f=false,,Books Noted: The African Origin of Civilization: Myth or Reality,application/pdf,"A book review of Chiekh Anta Diop's book the African Origin of Civilization, which majority challenged western assumptions on ancient history and Black African's involvement in the development of civilizations.",John Henrik Clarke,,1974.07,single-page; photographs,"Ancient Egypt, Ancient Ethiopia","Cairo, Egypt",29.97981069,31.13442524,,Google Books,Johnson Publishing,1974.07.51.23.9,"MG-101, Box 6, Folder - 'Photographs'",1974.07.51.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld025,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA53#v=onepage&q&f=false,,The Poet,application/pdf,A short story about a troubled man the narrator calls 'the poet.',Ronald Fair,,1974.07,single-page; photographs,Short Story,Switzerland,46.95557141,8.154358528,,Google Books,Johnson Publishing,1974.07.53.23.9,"MG-101, Box 6, Folder - 'Photographs'",1974.07.53.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld026,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA60#v=onepage&q&f=false,,Final Curtain for Anita Bush,application/pdf,"A obituary for Anita Bush, who owned an operated an all Black theatre company in Harlem.",Francisca Thompson,,1974.07,single-page; photographs,"Obituary, Theatre","New York City, New York",40.82215321,-73.94671643,,Google Books,Johnson Publishing,1974.07.60.23.9,"MG-101, Box 6, Folder - 'Photographs'",1974.07.60.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld027,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA64#v=onepage&q&f=false,,"My House//poems by Nikki Giovanni, Like a Ripple on a Pond// record by Nikki Giovanni",application/pdf,A book review and analysis of Nikki Giovanni's poetry collection 'My House' and record 'Like a Ripple on a Pond.',Kalamu Ya Salaam,,1974.07,single-page; photographs,"Poetry, Black Musicians","Newark, New Jersey",40.7416495,-74.17429639,Daily Idahoan,Google Books,Johnson Publishing,1974.07.64.23.9,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.07.64.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld028,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA71#v=onepage&q&f=false,,The Black Book,application/pdf,"A book review of the historical anthology book, The Black Book.",Woodie King Jr.,,1974.07,single-page; photographs,"Black History, Black Authors,","New York City, New York",40.71342157,-73.98985449,,Google Books,Johnson Publishing,1974.07.71.23.9,"MG-101, Box 6, Folder - 'Photographs'",1974.07.71.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld029,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA72#v=onepage&q&f=false,,Antigua Black,application/pdf,"A book review of Antigua Black, a book about the Black people of Antigua",,,1974.07,single-page; photographs,"Caribbean Culture, Book Review",Antigua,17.07646356,-61.81705914,,Google Books,Johnson Publishing,1974.07.72.23.9,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.07.72.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld030,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA77#v=onepage&q&f=false,,Music Festival,application/pdf,"An announcement for the Second John Henry Memorial Authentic Blues and Gospel Jubilee in Clifftop, West Virginia",,,1974.07,single-page; photographs,"Gospel Music, Black Musicians","Clifftop, West Virginia",38.00414284,-80.94355595,Daily Idahoan,Google Books,Johnson Publishing,1974.07.77.23.9,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.07.77.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld031,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA78#v=onepage&q&f=false,,The Novels of Hal Bennett Part II,application/pdf,"In this article, Walcott analyzes the works of Hal Bennett. This article is a continuation of Walcott's work in the June 1974 issue. This article covers Bennett's novels Lord of Dark Places, A Wilderness of Vines and The Black Vine.",Ronald Walcott,,1974.07,single-page; photographs,"Black Novelists, Novels","New York City, New York",40.66785978,40.66785978,,Google Books,Johnson Publishing,1974.07.78.23.9,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.07.78.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld032,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA97#v=onepage&q&f=false,,Hands,application/pdf,A poem about nature.,Ashanti,,1974.07,single-page; photographs,Poetry,"Charlotte, North Carolina",,,,Google Books,Johnson Publishing,1974.07.97.23.9,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.07.97.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld033,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PT3#v=onepage&q&f=false,,"Would He Look Better in a Sweater and Chinos, with a science book under his arm?",application/pdf,"A critique of both white and black people from all political ideologies, who condemn Black 'militants'.",,,1974.07,single-page; photographs,"Black Nationalism, Afro-Centrism",,,,,Google Books,Johnson Publishing,1974.07.100.23.9,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.07.100.23.9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld034,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA4#v=onepage&q&f=false,,On Richard Wright and Zora Neale Hurston,application/pdf,"An article about the two famous early twentieth century Black writers, Zora Neale Hurston and Richard Wright. This article explores these two's works, as well as the similarities and differences in opinion on race between the two.",June Jordan,,1974.08,single-page; photographs,"Harlem Renaissance, Black Novelists","New York City, New York",40.66785978,40.66785978,,Google Books,Johnson Publishing,1974.08.04.23.10,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.08.04.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld035,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA10#v=onepage&q&f=false,,Black Women Image Makers,application/pdf,"This article examines negative portrayals of Black women in white media, and the Black female writers like Maya Angelou, Alice Walker, Paule Marshall, and others.",Mary Helen Washington,,1974.08,single-page; photographs,"Black Novelists, Black Women, Poetry, LGBTQ+ History","Detriot, Michigan",42.41406883,-83.13803536,,Google Books,Johnson Publishing,1974.08.10.23.10,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.08.10.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld036,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA19#v=onepage&q&f=false,,A Sea of Brown Boys,application/pdf,A poem about inner city Black communities,Barbara D. Mahone,,1974.08,single-page; photographs,Poetry,"Chicago, Illinois",41.88235766,-87.61530771,Daily Idahoan,Google Books,Johnson Publishing,1974.08.19.23.10,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.08.19.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld037,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA20#v=onepage&q&f=false,,Zora Neale Hurston: The Novelist-Antrhopologist's Life/Works,application/pdf,This article is the biography of the life and work of Zora Neale Hurston,Ellease Southerland,,1974.08,single-page; photographs,"Black Novelists, Black Women, Anthropology","Eatonville, Florida","28.618173456440488,",-81.39308374,,Google Books,Johnson Publishing,1974.08.20.23.10,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.08.20.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
